Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
的	白	106	3	8	1	50	0.0422	3
了	亅	6	1	2	2	38	0.0321	2
一	一	1	0	1	3	28	0.0236	1
子	子	39	0	3	4	22	0.0186	2
他	人	9	3	5	5	21	0.0177	1
著	艸	140	8	14	6	19	0.0160	6
祥	示	113	6	11	6	19	0.0160	1
是	日	72	5	9	7	18	0.0152	1
不	一	1	3	4	8	17	0.0144	3
先	儿	10	4	6	8	17	0.0144	1
來	人	9	6	8	9	16	0.0135	2
生	生	100	0	5	9	16	0.0135	1
有	月	74	2	6	10	14	0.0118	2
曹	曰	73	7	11	10	14	0.0118	1
車	車	159	0	7	10	14	0.0118	2
上	一	1	2	3	11	13	0.0110	1
跑	足	157	5	12	12	11	0.0093	3
出	凵	17	3	5	12	11	0.0093	1
麼	麻	200	3	14	12	11	0.0093	4
看	目	109	4	9	13	10	0.0084	2
兒	儿	10	6	8	13	10	0.0084	2
到	刀	18	6	8	13	10	0.0084	1
你	人	9	5	7	13	10	0.0084	1
沒	水	85	4	7	13	10	0.0084	2
去	厶	28	3	5	14	9	0.0076	1
快	心	61	4	7	14	9	0.0076	1
在	土	32	3	6	14	9	0.0076	1
起	走	156	3	10	15	8	0.0068	1
把	手	64	4	7	15	8	0.0068	2
想	心	61	9	13	16	7	0.0059	1
這	辵	162	7	11	16	7	0.0059	3
也	乙	5	2	3	16	7	0.0059	1
塊	土	32	10	13	16	7	0.0059	1
她	女	38	3	6	16	7	0.0059	1
什	人	9	2	4	16	7	0.0059	2
人	人	9	0	2	17	6	0.0051	1
自	自	132	0	6	17	6	0.0051	1
坐	土	32	4	7	17	6	0.0051	1
己	己	49	0	3	17	6	0.0051	1
多	夕	36	3	6	17	6	0.0051	1
得	彳	60	8	11	17	6	0.0051	3
已	己	49	0	3	17	6	0.0051	1
天	大	37	1	4	17	6	0.0051	1
碴	石	112	9	14	17	6	0.0051	4
還	辵	162	13	17	17	6	0.0051	3
又	又	29	0	2	17	6	0.0051	1
那	邑	163	4	7	17	6	0.0051	8
兩	入	11	6	8	17	6	0.0051	2
開	門	169	4	12	18	5	0.0042	1
太	大	37	1	4	18	5	0.0042	1
風	風	182	0	9	18	5	0.0042	3
高	高	189	0	10	18	5	0.0042	2
我	戈	62	3	7	18	5	0.0042	1
怎	心	61	5	9	18	5	0.0042	1
